Proceso,Tiempo de Llegada en segundos,Tiempo Finalizado en segundos,Tiempo Ejecutado en segundos
No.2,1.9565742211740214,5.0,3.043425778825979
No.5,5.81705783554846,15.0,9.18294216445154
No.1,0.0,21.0,21.0
No.3,2.3325431873737488,26.0,23.667456812626252
No.6,8.524961174244769,28.0,19.47503882575523
No.4,4.608622075136031,29.0,24.391377924863967
No.7,17.293007568799347,31.0,13.706992431200653
No.9,36.77386099765371,40.99494628852348,4.221085290869766
No.10,38.61819021506495,41.99494628852348,3.3767560734585302
No.11,40.94743192896472,45.99494628852348,5.047514359558761
No.8,35.99494628852348,46.99494628852348,11.0
No.12,45.102222437076385,48.99494628852348,3.8927238514470943
No.13,48.23529317823765,54.99494628852348,6.759653110285832
No.15,50.09022489628885,60.99494628852348,10.904721392234627
No.14,49.66322509367242,61.99494628852348,12.331721194851056
No.16,60.49293545465037,62.99494628852348,2.5020108338731077
No.17,61.39432630616611,63.99494628852348,2.6006199823573724
No.18,74.92984546496879,77.92984546496879,3.0
No.19,91.283202667236,97.283202667236,6.0
No.20,97.22526459524863,106.283202667236,9.057938071987365
No.21,106.38716515636999,110.38716515636999,4.0
No.22,112.95534714115709,113.95534714115709,1.0
No.23,123.85896760282779,124.85896760282779,1.0
No.24,137.98036263958747,138.98036263958747,1.0
No.25,142.70020827787513,143.70020827787513,1.0
No.26,143.93103963007917,149.93103963007917,6.0
No.27,150.63503304476828,165.63503304476828,15.0
No.28,151.54483884832192,166.63503304476828,15.090194196446362
No.29,153.17237562012212,167.63503304476828,14.462657424646153
No.30,174.68552620693424,175.68552620693424,1.0
No.31,175.5057642413272,176.68552620693424,1.1797619656070424
No.32,178.82334430466543,179.82334430466543,1.0
No.33,180.3474625333697,196.3474625333697,16.0
No.43,200.23858439882187,221.3474625333697,21.108878134547837
No.35,188.9259082276257,222.3474625333697,33.421554305743996
No.34,183.06202476182017,232.3474625333697,49.28543777154954
No.40,196.6941303072177,247.3474625333697,50.653332226152
No.48,219.24268688474993,248.3474625333697,29.10477564861978
No.42,197.87872167292429,251.3474625333697,53.46874086044542
No.36,191.9758584559587,252.3474625333697,60.37160407741101
No.37,194.4812252494113,257.3474625333697,62.86623728395841
No.45,214.2988985170006,259.3474625333697,45.04856401636911
No.47,218.0942686368158,269.3474625333697,51.25319389655391
No.51,247.43564842411615,270.3474625333697,22.911814109253555
No.49,220.03533630111298,276.3474625333697,56.31212623225673
No.44,204.84860939709097,279.3474625333697,74.49885313627874
No.56,258.1325949583415,281.3474625333697,23.214867575028222
No.38,195.53859439997208,282.3474625333697,86.80886813339762
No.50,239.23413703312053,283.3474625333697,44.113325500249175
No.39,196.42408961605162,288.3474625333697,91.92337291731809
No.46,214.83786931622453,289.3474625333697,74.50959321714518
No.41,197.5141712748377,290.3474625333697,92.833291258532
No.53,252.82810475146633,296.3474625333697,43.51935778190338
No.59,283.01434791290563,299.3474625333697,16.333114620464073
No.60,289.81461067436936,304.3474625333697,14.532851859000345
No.58,272.0227268059693,305.3474625333697,33.32473572740042
No.54,255.79215013197182,310.3474625333697,54.555312401397885
No.55,257.0374214160596,311.3474625333697,54.31004111731011
No.57,263.02430865892285,312.3474625333697,49.32315387444686
No.52,249.63253593901433,313.3474625333697,63.714926594355376
No.61,314.70474196360976,327.70474196360976,13.0
No.63,321.7342929856344,328.70474196360976,6.970448977975366
No.64,321.87625808276283,333.70474196360976,11.828483880846932
No.62,314.81288647225455,334.70474196360976,19.891855491355216
No.65,325.3536267054541,335.70474196360976,10.351115258155687
No.66,334.3383409976841,352.70474196360976,18.366400965925664
No.70,353.4539167463428,365.70474196360976,12.250825217266936
No.71,357.2367628254865,367.70474196360976,10.467979138123269
No.72,358.6651453904303,368.70474196360976,10.039596573179438
No.67,338.13290620318645,371.70474196360976,33.57183576042331
No.69,349.3889041564371,380.70474196360976,31.31583780717267
No.74,365.13680289735953,387.70474196360976,22.567939066250233
No.68,348.4430994221972,388.70474196360976,40.261642541412584
No.73,362.2086224599009,394.70474196360976,32.49611950370888
No.78,385.42037435904297,395.70474196360976,10.284367604566796
No.75,369.7955722826443,401.70474196360976,31.909169680965476
No.77,382.50233452539203,402.70474196360976,20.202407438217733
No.80,397.9824538903407,403.70474196360976,5.7222880732690555
No.79,386.61603912244806,404.70474196360976,18.088702841161705
No.76,373.3394339756082,405.70474196360976,32.365307988001575
No.81,415.1219242306353,420.1219242306353,5.0
No.82,425.9331225421555,428.9331225421555,3.0
No.83,432.0595057217143,433.0595057217143,1.0
No.84,433.1486981256415,435.1486981256415,2.0
No.85,439.55208255057903,442.55208255057903,3.0
No.86,442.45526689539287,443.55208255057903,1.0968156551861625
No.87,446.0451543242908,447.0451543242908,1.0
No.88,467.0715050398425,468.0715050398425,1.0
No.89,467.5105340492613,473.0715050398425,5.560970990581211
No.90,479.3274505292937,485.3274505292937,6.0
No.91,487.8952595038482,492.8952595038482,5.0
No.92,493.92208581301713,499.92208581301713,6.0
No.93,501.9589748152962,506.9589748152962,5.0
No.94,515.8903614644948,516.8903614644948,1.0
No.95,520.575092213636,545.575092213636,25.0
No.96,522.110782786138,550.575092213636,28.46430942749805
No.98,537.2458167710832,555.575092213636,18.329275442552785
No.97,524.1819382020071,557.575092213636,33.393154011628894
No.99,551.1590861340857,559.575092213636,8.416006079550357
No.100,564.6185106058226,566.6185106058226,2.0
No.101,568.0851325857494,569.0851325857494,1.0
No.102,576.2251522025045,587.2251522025045,11.0
No.103,576.3024776417075,588.2251522025045,11.922674560797077
No.104,595.3977888775086,601.3977888775086,6.0
No.105,600.7407671301879,606.3977888775086,5.657021747320641
No.106,620.9515794630822,621.9515794630822,1.0
No.107,623.5450092123722,624.5450092123722,1.0
No.108,632.6146768953453,639.6146768953453,7.0
No.110,637.809778625411,640.6146768953453,2.804898269934256
No.111,642.3759857235736,645.6146768953453,3.2386911717716202
No.109,637.5248042617372,650.6146768953453,13.089872633608024
No.113,644.7605755355609,665.6146768953453,20.85410135978441
No.117,654.8165252345051,666.6146768953453,11.798151660840176
No.119,657.8428166696261,671.6146768953453,13.771860225719138
No.114,646.7149402120177,672.6146768953453,25.899736683327546
No.115,648.919758550117,677.6146768953453,28.694918345228302
No.112,643.2330892997741,678.6146768953453,35.381587595571204
No.116,651.3230725879062,679.6146768953453,28.291604307439115
No.121,664.9817195951695,680.6146768953453,15.632957300175804
No.123,666.0150358073846,685.6146768953453,19.599641087960663
No.118,655.2927604732164,704.6146768953453,49.32191642212888
No.124,672.6335517968453,705.6146768953453,32.9811250985
No.120,659.6236638815093,706.6146768953453,46.99101301383598
No.125,681.3888219035978,707.6146768953453,26.225854991747497
No.122,665.7911572926912,711.6146768953453,45.82351960265407
No.131,708.808919372726,724.6146768953453,15.805757522619274
No.126,681.5471036166991,725.6146768953453,44.06757327864614
No.129,706.0178677832237,728.6146768953453,22.596809112121605
No.130,707.4709231151563,733.6146768953453,26.143753780188945
No.127,697.58135467864,743.6146768953453,46.0333222167053
No.128,700.6341105064416,744.6146768953453,43.98056638890364
No.132,712.2145063089627,745.6146768953453,33.400170586382615
No.139,733.7748346746587,755.6146768953453,21.83984222068659
No.135,721.5758232697746,761.6146768953453,40.03885362557071
No.141,742.4342831051433,762.6146768953453,20.180393790201947
No.140,733.8631320268155,776.6146768953453,42.75154486852978
No.134,721.5130852382094,778.6146768953453,57.10159165713583
No.136,723.1409783378944,783.6146768953453,60.473698557450916
No.142,742.8219986432115,789.6146768953453,46.79267825213378
No.149,768.1893800376066,790.6146768953453,22.425296857738658
No.137,728.7715277190165,791.6146768953453,62.84314917632878
No.143,749.7034450992875,796.6146768953453,46.91123179605779
No.138,731.9073662872245,797.6146768953453,65.70731060812079
No.133,719.4974489711326,799.6146768953453,80.11722792421267
No.147,763.8686420330747,808.6146768953453,44.74603486227056
No.144,754.327148515261,811.6146768953453,57.28752838008427
No.145,760.4029414918568,812.6146768953453,52.21173540348843
No.146,761.2691476457219,813.6146768953453,52.34552924962338
No.148,766.227517182145,814.6146768953453,48.387159713200276
No.150,768.8287818301765,815.6146768953453,46.7858950651688
