Proceso,Tiempo de Llegada en segundos,Tiempo Finalizado en segundos,Tiempo Ejecutado en segundos
No.2,3.9131484423480427,4.913148442348042,0.9999999999999996
No.1,0.0,9.0,9.0
No.4,9.217244150272062,10.217244150272062,1.0
No.5,10.115913930281081,11.217244150272062,1.101330219990981
No.3,4.6650863747474975,13.913148442348042,9.248062067600545
No.6,11.066859107674196,16.217244150272062,5.150385042597867
No.7,28.602951896783345,29.602951896783345,1.0
No.8,37.20921696581598,43.20921696581598,6.0
No.9,74.61309440526426,75.61309440526426,1.0
No.10,80.0455330897664,81.0455330897664,1.0
No.11,88.50650499632027,90.50650499632027,2.0
No.13,90.61921695859901,93.61921695859901,3.0
No.12,89.59412028231851,96.59412028231851,7.0
No.14,100.26902778965544,101.26902778965544,1.0
No.15,104.75665374262559,105.75665374262559,1.0
No.16,116.7629189607402,119.7629189607402,3.0
No.17,125.30602948774838,126.30602948774838,1.0
No.18,128.70192911302834,133.70192911302834,5.0
No.19,135.87495151787954,136.87495151787954,1.0
No.20,162.9459898354849,165.9459898354849,3.0
No.21,195.65270424001932,201.65270424001932,6.0
No.22,207.5368280960446,216.5368280960446,9.0
No.23,225.8606292182873,229.8606292182873,4.0
No.24,238.9969931878615,239.9969931878615,1.0
No.25,260.8042341112029,261.8042341112029,1.0
No.26,289.04702418472226,290.04702418472226,1.0
No.27,298.4867154612976,299.4867154612976,1.0
No.28,300.94837816570566,306.94837816570566,6.0
No.29,314.3563649950839,317.3563649950839,3.0
No.30,316.17597660219116,319.17597660219116,3.0
No.31,337.66464965140125,342.66464965140125,5.0
No.33,350.010763381459,353.010763381459,3.0
No.32,349.14445221944703,354.14445221944703,5.0
No.35,360.7963477889819,365.7963477889819,5.0
No.34,360.7553277378205,366.7963477889819,6.041020051161411
No.36,365.404861348932,368.7553277378205,3.350466388888492
No.37,371.504761805598,372.504761805598,1.0
No.39,374.7124837360583,375.7124837360583,1.0
No.40,375.87701636927005,376.87701636927005,1.0
No.38,372.5977454349367,381.5977454349367,9.0
No.42,384.64914647331307,386.64914647331307,2.0
No.41,376.9570965159201,386.9570965159201,10.0
No.43,394.1701129766242,397.1701129766242,3.0
No.44,400.5975335828534,401.5975335828534,1.0
No.45,407.21081489811894,409.21081489811894,2.0
No.46,408.2887564965668,417.2887564965668,9.0
No.47,425.9412198759521,430.9412198759521,5.0
No.48,456.09762580674527,462.09762580674527,6.0
No.49,467.81163604912734,473.81163604912734,6.0
No.50,479.72538714157173,485.72538714157173,6.0
No.51,484.1212359230176,486.1212359230176,2.0
No.52,493.6204407524154,495.6204407524154,2.0
No.53,507.08629459258066,508.08629459258066,1.0
No.54,511.480069622377,516.480069622377,4.999999999999943
No.55,527.0919836602733,530.0919836602733,3.0
No.56,538.8854991543114,540.8854991543114,2.0
No.57,539.7251661451143,544.7251661451143,5.0
No.58,546.0754580825278,547.0754580825278,1.0
No.59,552.6046014623055,558.6046014623055,6.0
No.60,570.6014377563984,575.6014377563984,5.0
No.61,592.584679970271,598.584679970271,6.0
No.62,608.7203225561332,609.7203225561332,1.0
No.63,621.6228457983514,627.6228457983514,6.0
No.64,621.9022001667769,631.9022001667769,10.0
No.66,638.4705336862306,644.4705336862306,6.0
No.65,638.327080263029,647.327080263029,9.0
No.67,652.3133467129903,654.3133467129903,2.0
No.68,654.7058193458018,655.7058193458018,1.0
No.70,658.3366713794279,664.3366713794279,6.0
No.69,657.7082901079564,666.7082901079564,9.0
No.71,669.1978233257696,670.1978233257696,1.0
No.72,684.1815374640196,685.1815374640196,1.0
No.73,699.1443694212797,700.1443694212797,1.0
No.74,700.6707423393974,706.6707423393974,6.0
No.75,708.8007675192089,713.8007675192089,5.0
No.76,730.2760712618115,736.2760712618115,6.0
No.77,733.5183848759721,739.5183848759721,6.0
No.78,747.7892627110394,753.7892627110394,6.0
No.79,759.5895797295162,765.5895797295162,6.0
No.80,771.6032711036287,777.6032711036287,6.0
No.82,776.8759130896166,778.078234877969,1.2023217883523785
No.81,773.078234877969,779.6032711036287,6.525036225659733
No.84,789.4894850592777,795.4894850592777,6.0
No.83,787.9465565174928,796.9465565174928,9.0
No.85,803.2205853238921,806.2205853238921,3.0
No.86,804.9815875374286,809.9815875374286,5.0
No.87,809.1233591835573,811.1233591835573,2.0
No.88,821.9301280334324,824.9301280334324,3.0
No.89,827.7364967230601,828.7364967230601,1.0
No.90,834.916271580856,835.916271580856,1.0
No.91,876.9689730119594,877.9689730119594,1.0
No.92,877.847031030797,882.847031030797,5.0
No.93,901.4808639908617,907.4808639908617,6.0
No.94,918.6164819399708,923.6164819399708,5.0
No.95,930.6701345583086,936.6701345583086,6.0
No.96,946.7439125628667,951.7439125628667,5.0
No.97,974.6066858612642,975.6066858612642,1.0
No.100,991.1898393362885,992.9761473595464,1.7863080232579023
No.98,983.9761473595464,993.0475285045502,9.071381145003784
No.99,987.0475285045502,993.9761473595464,6.928618854996216
