Proceso,Tiempo de Llegada en segundos,Tiempo Finalizado en segundos,Tiempo Ejecutado en segundos
No.2,3.9131484423480427,5.0,1.0868515576519573
No.1,0.0,11.0,11.0
No.6,10.323563635432953,21.0,10.676436364567047
No.7,10.932859445639878,22.0,11.067140554360122
No.3,4.6650863747474975,31.0,26.334913625252504
No.4,9.217244150272062,32.0,22.782755849727938
No.5,9.599411171479511,33.0,23.40058882852049
No.9,43.81210590219309,45.39270430853797,1.5805984063448832
No.8,40.39270430853797,50.39270430853797,10.0
No.10,52.273077808746976,57.273077808746976,5.0
No.11,60.9862553826888,72.9862553826888,11.999999999999993
No.12,68.92133455813467,73.9862553826888,5.064920824554122
No.13,75.7813521602911,76.7813521602911,1.0
No.14,80.26897811326126,81.26897811326126,1.0
No.15,92.27524333137586,95.27524333137586,3.0
No.16,100.81835385838404,101.81835385838404,1.0
No.17,104.214253483664,109.214253483664,5.0
No.18,111.38727588851518,112.38727588851518,1.0
No.19,138.45831420612055,141.45831420612055,3.0
No.20,171.16502861065496,177.16502861065496,6.0
No.21,183.04915246668023,192.04915246668023,9.0
No.22,201.37295358892294,205.37295358892294,4.0
No.23,214.50931755849714,215.50931755849714,1.0
No.24,236.31655848183854,237.31655848183854,1.0
No.25,264.5593485553579,265.5593485553579,1.0
No.26,273.9990398319332,274.9990398319332,1.0
No.27,276.4607025363413,282.4607025363413,6.0
No.28,289.8686893657195,293.8686893657195,4.0
No.29,291.68830097282677,295.8686893657195,4.1803883928927235
No.30,313.17697402203686,318.17697402203686,5.0
No.31,324.65677659008264,330.65677659008264,6.0
No.32,325.5230877520946,332.65677659008264,7.133688837988018
No.34,336.3086721596175,347.2676521084561,10.95897994883859
No.33,336.2676521084561,348.2676521084561,12.0
No.35,340.9171857195676,351.2676521084561,10.350466388888492
No.36,352.64495265117876,367.64495265117876,15.0
No.40,360.66398531426853,384.64495265117876,23.980967336910226
No.44,369.06357756028746,385.64495265117876,16.5813750908913
No.42,363.0331680456817,387.64495265117876,24.611784605497064
No.37,357.65568623808394,388.64495265117876,30.98926641309481
No.38,358.3529134997773,400.64495265117876,42.29203915140147
No.39,360.12390393193635,406.64495265117876,46.5210487192424
No.43,367.75289349747686,407.64495265117876,39.892059153701894
No.41,362.30406724950853,408.64495265117876,46.34088540167022
No.45,375.676858875553,414.64495265117876,38.96809377562573
No.46,393.3293222549383,419.64495265117876,26.315630396240465
No.48,409.4391812787662,424.64495265117876,15.205771372412528
No.47,405.04333249732036,430.64495265117876,25.60162015385839
No.49,419.5573435741854,431.64495265117876,12.087609076993374
No.50,421.7877539323158,433.64495265117876,11.857198718862946
No.51,467.4506980084475,472.4506980084475,5.0
No.54,479.9902637928098,486.3787887694585,6.388524976648682
No.52,473.3787887694585,491.3787887694585,18.0
No.53,475.869331337634,498.3787887694585,22.5094574318245
No.55,486.5194071725875,499.3787887694585,12.859381596871003
No.56,510.5741313733901,516.5741313733902,6.000000000000057
No.57,526.7097739592522,527.7097739592522,1.0
No.58,539.6122972014704,550.6122972014704,11.0
No.59,539.8916515698959,555.6122972014704,15.720645631574484
No.60,556.316531666148,570.316531666148,14.0
No.61,556.4599850893496,571.316531666148,14.856546576798337
No.62,570.3027981161093,573.316531666148,3.013733550038637
No.63,572.6952707489208,574.316531666148,1.6212609172271186
No.64,575.6977415110754,596.6977415110754,21.0
No.65,576.3261227825469,597.6977415110754,21.37161872852846
No.66,587.1872747288886,606.6977415110754,19.510466782186768
No.67,607.8076611669101,613.8076611669101,6.0
No.68,614.222566405652,620.222566405652,6.0
No.69,625.6900310753498,630.6900310753498,5.0
No.70,647.1653348179524,654.1653348179524,7.0
No.71,650.407648432113,659.1653348179524,8.757686385839406
No.72,664.6785262671804,670.6785262671804,6.0
No.73,676.4788432856571,682.4788432856571,6.0
No.74,688.4925346597696,698.4925346597696,10.0
No.76,693.7651766457575,699.4925346597696,5.727358014012111
No.77,696.1565061725677,700.4925346597696,4.336028487201929
No.75,689.9674984341099,702.4925346597696,12.525036225659733
No.78,724.2083953500843,729.2083953500843,5.0
No.79,745.6499312675483,746.6499312675483,1.0
No.80,750.7291775367959,751.7291775367959,1.0
No.81,796.6531533224443,799.6531533224443,3.0
No.82,808.9059196815618,809.9059196815618,1.0
No.83,811.0843044894162,813.0843044894162,2.0
No.84,823.8910733392913,826.8910733392913,3.0
No.85,829.697442028919,830.697442028919,1.0
No.86,836.8772168867149,837.8772168867149,1.0
No.87,878.9299183178183,879.9299183178183,1.0
No.88,879.8079763366559,884.9299183178183,5.121941981162422
No.89,903.4418092967206,909.4418092967206,6.0
